The validation report is based on ImmPort workspace (workspace_id = 6661).
The validation report was generated on 2022-08-25-14:51:26.
The data package file submitted was /home/immport/data/immport-data-upload-server/webupload_drop_zone/aleliu_20220825_34271___TEST.

File Name	Line Number	Status	Error Message	Description
PMID34151306_reagent.txt		Parsing		Template: reagents.other.txt, Size:677 bytes
PMID34151306_reagent.txt		Information		Validation Level = Standard
PMID34151306_reagent.txt	3	Stored in:file_info		Size:677 bytes
PMID34151306_reagent.txt		Parsed		Template: reagents.other.txt, Size:677 bytes
PMID34151306_treatment.txt		Parsing		Template: treatments.txt, Size:301 bytes
PMID34151306_treatment.txt		Information		Validation Level = Standard
PMID34151306_treatment.txt	3	Stored in:file_info		Size:301 bytes
PMID34151306_treatment.txt		Parsed		Template: treatments.txt, Size:301 bytes
PMID34151306_panel_SCH.txt		Parsing		Template: assessments.txt, Size:1513 bytes
PMID34151306_panel_SCH.txt		Information		Validation Level = Standard
PMID34151306_panel_SCH.txt	3	Stored in:file_info		Size:1513 bytes
PMID34151306_panel_SCH.txt	4	Information		The combined status for subject_id (PMID34151306_aoc-01) and table subject has values:  subject_required (yes), subject_user_defined_id (PMID34151306_aoc-01), and subject_accession ().
PMID34151306_panel_SCH.txt	4	Information		The combined status for assessment_panel_id (PMID34151306_assessment_SCH-01) and table assessment_panel has values:  assessment_panel_required (yes), assessment_panel_user_defined_id (PMID34151306_assessment_SCH-01), and assessment_panel_accession ().
PMID34151306_panel_SCH.txt	4	Error	User defined ID cannot be found in package or database	The user defined ID field(s) "user_defined_id" with value "PMID34151306_study-01" in the Table study.  The row has ID field(s) "subject_user_defined_id" and value "PMID34151306_aoc-01".
PMID34151306_panel_SCH.txt	4	Error	The subject ID must always be for a predefined subject	The check uses fields ["subject_required_value", "subject_required"] whose values are [no, yes].  The row has ID field(s) "subject_user_defined_id" and value "PMID34151306_aoc-01".
PMID34151306_panel_SCH.txt	4	Error	assessment_component study_accession "" is not in study_accession list linked to subject_accession "[]"	The check-value-in-entity check "" in field "subject_accession" "SUB1000149039".  The row has ID field(s) "subject_user_defined_id" and value "PMID34151306_aoc-01".
PMID34151306_panel_SCH.txt	8	Error	The study_accession for the assessment component is not same as for the planned visit	The check uses fields ["study_accession", "planned_visit_study_accession"] whose values are [AP1000149040, SDY1831].  The row has ID field(s) "User Defined ID" and value "PMID34151306_component_SCH-01".
PMID34151306_panel_SCH.txt	5	Information		The combined status for subject_id (PMID34151306_aoc-02) and table subject has values:  subject_required (yes), subject_user_defined_id (PMID34151306_aoc-02), and subject_accession ().
PMID34151306_panel_SCH.txt	5	Information		The combined status for assessment_panel_id (PMID34151306_assessment_SCH-02) and table assessment_panel has values:  assessment_panel_required (yes), assessment_panel_user_defined_id (PMID34151306_assessment_SCH-02), and assessment_panel_accession ().
PMID34151306_panel_SCH.txt	5	Error	User defined ID cannot be found in package or database	The user defined ID field(s) "user_defined_id" with value "PMID34151306_study-01" in the Table study.  The row has ID field(s) "subject_user_defined_id" and value "PMID34151306_aoc-02".
PMID34151306_panel_SCH.txt	5	Error	The subject ID must always be for a predefined subject	The check uses fields ["subject_required_value", "subject_required"] whose values are [no, yes].  The row has ID field(s) "subject_user_defined_id" and value "PMID34151306_aoc-02".
PMID34151306_panel_SCH.txt	5	Error	assessment_component study_accession "" is not in study_accession list linked to subject_accession "[]"	The check-value-in-entity check "" in field "subject_accession" "SUB1000149048".  The row has ID field(s) "subject_user_defined_id" and value "PMID34151306_aoc-02".
PMID34151306_panel_SCH.txt	8	Error	The study_accession for the assessment component is not same as for the planned visit	The check uses fields ["study_accession", "planned_visit_study_accession"] whose values are [AP1000149049, SDY1831].  The row has ID field(s) "User Defined ID" and value "PMID34151306_component_SCH-02".
PMID34151306_panel_SCH.txt	6	Information		The combined status for subject_id (PMID34151306_aoc-03) and table subject has values:  subject_required (yes), subject_user_defined_id (PMID34151306_aoc-03), and subject_accession ().
PMID34151306_panel_SCH.txt	6	Information		The combined status for assessment_panel_id (PMID34151306_assessment_SCH-03) and table assessment_panel has values:  assessment_panel_required (yes), assessment_panel_user_defined_id (PMID34151306_assessment_SCH-03), and assessment_panel_accession ().
PMID34151306_panel_SCH.txt	6	Error	User defined ID cannot be found in package or database	The user defined ID field(s) "user_defined_id" with value "PMID34151306_study-01" in the Table study.  The row has ID field(s) "subject_user_defined_id" and value "PMID34151306_aoc-03".
