The validation report is based on ImmPort workspace (workspace_id = 6661).
The validation report was generated on 2022-08-25-15:00:37.
The data package file submitted was /home/immport/data/immport-data-upload-server/webupload_drop_zone/aleliu_20220825_34274___test.

File Name	Line Number	Status	Error Message	Description
PMID33743211_reagent.txt		Parsing		Template: reagents.other.txt, Size:297 bytes
PMID33743211_reagent.txt		Information		Validation Level = Standard
PMID33743211_reagent.txt	3	Stored in:file_info		Size:297 bytes
PMID33743211_reagent.txt		Parsed		Template: reagents.other.txt, Size:297 bytes
PMID33743211_treatment.txt		Parsing		Template: treatments.txt, Size:301 bytes
PMID33743211_treatment.txt		Information		Validation Level = Standard
PMID33743211_treatment.txt	3	Stored in:file_info		Size:301 bytes
PMID33743211_treatment.txt		Parsed		Template: treatments.txt, Size:301 bytes
PMID33743211_experiment_samples.txt		Parsing		Template: experimentsamples.other.txt, Size:2049 bytes
PMID33743211_experiment_samples.txt		Information		Validation Level = Standard
PMID33743211_experiment_samples.txt	3	Stored in:file_info		Size:2049 bytes
PMID33743211_experiment_samples.txt	4	Information		The combined status for expsample_id (PMID33743211_expSample-01) and table expsample has values:  expsample_required (yes), expsample_user_defined_id (PMID33743211_expSample-01), and expsample_accession ().
PMID33743211_experiment_samples.txt	4	Information		The combined status for biosample_id (PMID33743211_biosampleID-01) and table biosample has values:  biosample_required (yes), biosample_user_defined_id (PMID33743211_biosampleID-01), and biosample_accession ().
PMID33743211_experiment_samples.txt	4	Information		The combined status for experiment_id (PMID33743211_experimentID-01) and table experiment has values:  experiment_required (yes), experiment_user_defined_id (PMID33743211_experimentID-01), and experiment_accession ().
PMID33743211_experiment_samples.txt	4	Error	User defined ID cannot be found in package or database	The user defined ID field(s) "subject_user_defined_id" with value "PMID33743211_aoc-01" in the Table subject.  The row has ID field(s) "expsample_user_defined_id" and value "PMID33743211_expSample-01".
PMID33743211_experiment_samples.txt	4	Error	User defined ID cannot be found in package or database	The user defined ID field(s) "user_defined_id" with value "PMID33743211_study-01" in the Table study.  The row has ID field(s) "expsample_user_defined_id" and value "PMID33743211_expSample-01".
pointerToExperimentalData.txt	7	Stored in:file_info		Size:137 bytes
PMID33743211_experiment_samples.txt	7	Error	The path expression for the file could not be generated due to missing data.	The Path Expression for "FILE_INFO" generation with Parameters [workspaceId, fileInfoId, fileName, detail, studyAccession] and corresponding Values [6661, 1000149585, pointerToExperimentalData.1000149585.txt, Custom assay result, NULL]  The row has ID field(s) "Name" and value "pointerToExperimentalData.txt".
PMID33743211_experiment_samples.txt	7	Error	Missing required value	The Rule check "Required Column" for Field "path".  The row has ID field(s) "Name" and value "pointerToExperimentalData.txt".
PMID33743211_experiment_samples.txt	4	Error	biosample study_accession "" is not in study_accession list linked to subject_accession "[]"	The check-value-in-entity check "" in field "subject_accession" "".  The row has ID field(s) "expsample_user_defined_id" and value "PMID33743211_expSample-01".
PMID33743211_experiment_samples.txt	4	Error	The study_accession for the biological sample is not the same as for the planned visit	The check uses fields ["study_accession", "planned_visit_study_accession"] whose values are [, SDY1798].  The row has ID field(s) "expsample_user_defined_id" and value "PMID33743211_expSample-01".
PMID33743211_experiment_samples.txt	5	Information		The combined status for expsample_id (PMID33743211_expSample-02) and table expsample has values:  expsample_required (yes), expsample_user_defined_id (PMID33743211_expSample-02), and expsample_accession ().
PMID33743211_experiment_samples.txt	5	Information		The combined status for biosample_id (PMID33743211_biosampleID-01) and table biosample has values:  biosample_required (no), biosample_user_defined_id (PMID33743211_biosampleID-01), and biosample_accession (BS1000149582).
PMID33743211_experiment_samples.txt	5	Information		The combined status for experiment_id (PMID33743211_experimentID-01) and table experiment has values:  experiment_required (no), experiment_user_defined_id (PMID33743211_experimentID-01), and experiment_accession (EXP1000149583).
PMID33743211_experiment_samples.txt	5	Information		The parent accession biosample_study_accession () was set using the table biosample and biosample_accession (BS1000149582).
PMID33743211_experiment_samples.txt	5	Information		The parent accession experiment_study_accession () was set using the table experiment and experiment_accession (EXP1000149583).
PMID33743211_experiment_samples.txt	5	Information		The value in experiment_study_accession () is assigned to study_accession.
PMID33743211_experiment_samples.txt	6	Information		The combined status for expsample_id (PMID33743211_expSample-03) and table expsample has values:  expsample_required (yes), expsample_user_defined_id (PMID33743211_expSample-03), and expsample_accession ().
PMID33743211_experiment_samples.txt	6	Information		The combined status for biosample_id (PMID33743211_biosampleID-01) and table biosample has values:  biosample_required (no), biosample_user_defined_id (PMID33743211_biosampleID-01), and biosample_accession (BS1000149582).
PMID33743211_experiment_samples.txt	6	Information		The combined status for experiment_id (PMID33743211_experimentID-02) and table experiment has values:  experiment_required (yes), experiment_user_defined_id (PMID33743211_experimentID-02), and experiment_accession ().
PMID33743211_experiment_samples.txt	6	Information		The parent accession biosample_study_accession () was set using the table biosample and biosample_accession (BS1000149582).
PMID33743211_experiment_samples.txt	6	Information		The value in biosample_study_accession () is assigned to study_accession.
PMID33743211_experiment_samples.txt	7	Information		The combined status for expsample_id (PMID33743211_expSample-04) and table expsample has values:  expsample_required (yes), expsample_user_defined_id (PMID33743211_expSample-04), and expsample_accession ().
PMID33743211_experiment_samples.txt	7	Information		The combined status for biosample_id (PMID33743211_biosampleID-01) and table biosample has values:  biosample_required (no), biosample_user_defined_id (PMID33743211_biosampleID-01), and biosample_accession (BS1000149582).
PMID33743211_experiment_samples.txt	7	Information		The combined status for experiment_id (PMID33743211_experimentID-02) and table experiment has values:  experiment_required (no), experiment_user_defined_id (PMID33743211_experimentID-02), and experiment_accession (EXP1000149603).
PMID33743211_experiment_samples.txt	7	Information		The parent accession biosample_study_accession () was set using the table biosample and biosample_accession (BS1000149582).
PMID33743211_experiment_samples.txt	7	Information		The parent accession experiment_study_accession () was set using the table experiment and experiment_accession (EXP1000149603).
PMID33743211_experiment_samples.txt	7	Information		The value in experiment_study_accession () is assigned to study_accession.
PMID33743211_experiment_samples.txt		Failed		Template: experimentsamples.other.txt, Size:2049 bytes
nobody_20220825_1000000270___aleliu_20220825_34274___test		Rejected		
